,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom
2021-01-31 00:00:00,0.216074541,0.29817903269,0.107501181,0.0551386992,0.0223335016,0.329997608,0.114898715,0.0445029447,0.144022527,0.90574963,2.320895494,0.158922647,0.14460587178,0.1150512719,0.96486956,0.028103402932299997,0.039732185996239996,0.0337368316585,0.004072435767,0.4743613705,1.058387779,0.084267864,0.227985367,0.1050537943,0.043317213244,0.52900348,0.115299765,1.047307152
2021-02-01 00:00:00,0.2175297695,0.30434416108999995,0.1095085009,0.0560549738,0.02188659952,0.3330056019,0.115622927,0.0469255418,0.147633668,0.88826287,2.311885711,0.16228653,0.14715060127,0.1130062624,0.9718461,0.028269092120499998,0.040200148534,0.0334543516585,0.004082250127,0.4790058172,1.079906109,0.08464763700000001,0.231681042,0.10851429424,0.042187190038,0.52301563,0.11749881100000001,1.067092361
2021-02-02 00:00:00,0.21857460369999998,0.2992214648,0.110337018,0.0566931452,0.02116131162,0.3326860017,0.116456176,0.0496025538,0.151552998,0.8458113,2.294922094,0.16298769400000002,0.14929455724,0.1113585626,0.9802978,0.028542587066920002,0.040537067134,0.03309406,0.004029152775,0.4850123581,1.090407161,0.080442246,0.232375561,0.1100343427,0.041808333004,0.51703324,0.118763533,1.044865271
2021-02-03 00:00:00,0.21349337670000001,0.2907609284,0.1090055726,0.0566611753,0.02082738177,0.32890975720000004,0.1167255712,0.049639015099999996,0.15456404,0.81105623,2.222485174,0.158119878,0.14944020151,0.1096726491,0.96676636,0.028512228278399998,0.040420232016,0.0324925,0.00386258425,0.4673073667,1.084194324,0.078664894,0.232177384,0.10966646657,0.041468000454,0.52490881,0.11894653899999999,1.036124775
2021-02-04 00:00:00,0.2094894729,0.2992595838,0.1066174648,0.0562667789,0.01998455936,0.3255799418,0.1179680828,0.0493443335,0.15750046899999998,0.81666958,2.2026131099999997,0.151405739,0.1473196262,0.11383859589999999,0.95737909,0.0285463508357,0.040720523583,0.0325625550813,0.0037246549130000002,0.4637021692,1.088137342,0.089692488,0.228464908,0.10740472846,0.040424337486,0.55233345,0.12031636,1.052439814
2021-02-05 00:00:00,0.2093563408,0.3082359161,0.1042381205,0.056491591199999996,0.01929203043,0.3229204199,0.1198907929,0.0515525186,0.160170407,0.84358628,2.22647816,0.150703322,0.1478252487,0.1166132984,0.96500872,0.0288655078572,0.041421207776,0.0327481950813,0.003745496981,0.48124511169999995,1.095583841,0.099253744,0.224987272,0.10579596126,0.03998524932,0.57481027,0.122584732,1.0741547120000001
2021-02-06 00:00:00,0.2102509143,0.30763926960000004,0.1015175858,0.0554121661,0.01900536801,0.320288798,0.11949506780000001,0.0514222354,0.161646121,0.84554759,2.17402418,0.146564934,0.14780582888,0.120213147,0.96703004,0.0294574767043,0.04193726704,0.032668432031000005,0.003663854606,0.47874123370000005,1.101547058,0.101487548,0.2245860435,0.10488038969999999,0.03926577489,0.59466578,0.122915411,1.0862387009999999
2021-02-07 00:00:00,0.2031341156,0.3127635493,0.09953103049999999,0.0540690168,0.01920653662,0.3170929311,0.118491991,0.0508413308,0.162381158,0.8551972800000001,2.138574941,0.144803911,0.14701196918,0.118087627,0.96276228,0.029418834468,0.04232568247,0.0323023286026,0.003497532981,0.48462319808,1.104273751,0.103995204,0.22242942,0.10383060231,0.037979473300000004,0.60911419,0.122799479,1.0728362439999999
2021-02-08 00:00:00,0.2030885337,0.3149925232,0.0969201047,0.052490794800000004,0.01925224223,0.3164546967,0.1172185579,0.0481779185,0.162573367,0.87781485,2.148210268,0.139138351,0.144003007738,0.1136016161,0.9402236700000001,0.029832410639999998,0.04240799329,0.0325876086026,0.0034687345479999998,0.48150031996000003,1.100832857,0.104278484,0.21930357649999999,0.10057064087999999,0.037983277054,0.61410327,0.121224506,1.0500994959999999
2021-02-09 00:00:00,0.2050940785,0.33545167259,0.0932517727,0.0512388601,0.01948442418,0.3197445686,0.1177041088,0.0480893919,0.163317874,0.9307803400000001,2.232128707,0.132595101,0.14343994274,0.1131514292,0.91555486,0.0299783832564,0.042776381690000004,0.033348659870000005,0.003391540624,0.4905298327,1.121469062,0.105592233,0.2155018795,0.09941445679,0.037912933642,0.6118255,0.121254324,1.089864647
2021-02-10 00:00:00,0.210879938,0.35852009756000003,0.0915110105,0.0502455454,0.0196699905,0.3275470935,0.12047528789999999,0.0512839712,0.16459717,0.9968741,2.380667505,0.128845426,0.14511403578999998,0.1151738269,0.90855998,0.0304563000449,0.04383060262,0.0346424357954,0.003356057438,0.5241827103,1.157519009,0.104308667,0.2104898139,0.10026525138999999,0.038327271808,0.61502879,0.12298288900000001,1.13909174
2021-02-11 00:00:00,0.2192159422,0.37387704416,0.0903916936,0.0507029092,0.01998987753,0.3379778928,0.1221879182,0.0555264792,0.165184345,1.0481059400000001,2.495338985,0.127114059,0.15036398651000002,0.1108607797,0.92137426,0.0308104710449,0.04456994517,0.0356553607141,0.003477967116,0.544013205,1.191932263,0.094875192,0.2104231731,0.102868314869,0.039286668795,0.60937183,0.12434742,1.185037558
2021-02-12 00:00:00,0.2310154085,0.39296591350000004,0.092792048,0.0515574204,0.020256356,0.3476873679,0.1236897705,0.0565751847,0.16497877,1.09237002,2.602339947,0.127819001,0.15441494991000002,0.1060963049,0.9499283999999999,0.0307258875711,0.0450226136,0.036634907282,0.003598733442,0.5601386526,1.2120022049999999,0.087723323,0.216466497,0.10538185554400001,0.040242235287,0.59939078,0.125053504,1.195215495
2021-02-13 00:00:00,0.2420669057,0.40635871490000003,0.0972016116,0.054008371699999995,0.02043727738,0.3577410363,0.125994314,0.0559461618,0.163276181,1.14845917,2.75372242,0.134992203,0.15777012278,0.1014883329,0.98691777,0.029949047287,0.04517009253,0.037674550333000004,0.003774239648,0.5890502967,1.214760614,0.088828763,0.22223889700000002,0.10719731879200001,0.041634384957,0.59932052,0.126602238,1.199523087
