,Beijing,Tianjin,Hebei,Shaanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Sichuan,Chongqing,Guizhou,Yunnan,Tibet,Shanxi,Gansu,Qinghai,Ningxia,Xinjiang
2020-01-15 00:00:00,0.411665291,0.5651057509999999,2.869604024,0.878293879,1.462018582,1.550879589,0.5833351090000001,0.619152687,0.308655209,1.795283311,0.8056102489999999,0.919235613,0.524920675,0.470014647,2.8435307,1.29367902,0.8977523089999999,0.5368097519999999,1.062864152,0.5500684220000001,0.0649946778,0.676355585,0.25128534,0.563260175,0.599739696,0.0088535644,1.304487075,0.462806771,0.2057445377,0.3804341967,0.9485598420000001
2020-01-16 00:00:00,0.410173491,0.5618937509999999,2.847523024,0.872022979,1.451260582,1.5414947890000001,0.580362509,0.616333887,0.306055309,1.7800382950999998,0.7989622490000001,0.911493413,0.520494275,0.466050447,2.8239887,1.28442802,0.890159459,0.532326152,1.054126152,0.5454238220000001,0.0644594778,0.6707313850000001,0.24920293999999998,0.558467474,0.594678212,0.008795491400000001,1.2954875750000001,0.45967657100000003,0.2042819377,0.3775783967,0.941668142
2020-01-17 00:00:00,0.411219091,0.560985351,2.834285024,0.868951979,1.4449458819999998,1.538182989,0.5801166090000001,0.616628787,0.30459540900000004,1.7707213601,0.7960882490000001,0.906751213,0.517975675,0.463798147,2.8153777,1.2806740200000002,0.8854448189999999,0.530061052,1.050576152,0.5427602220000001,0.0642364778,0.668017585,0.24823174,0.55545724,0.591754698,0.0088362284,1.291010275,0.45830487099999995,0.2035207377,0.3758627967,0.937787342
2020-01-18 00:00:00,0.396242191,0.546869651,2.771915024,0.847222479,1.414768182,1.500172989,0.5636694090000001,0.598201387,0.295996209,1.7256989695,0.767837249,0.884097873,0.503551075,0.450862747,2.7422757,1.24267002,0.863651449,0.513383952,1.011793152,0.527780722,0.0619008778,0.6461654849999999,0.23988414000000002,0.541896115,0.5755713619999999,0.008122459399999999,1.261120075,0.446664371,0.1988055377,0.36801429669999997,0.917435642
2020-01-19 00:00:00,0.38377299099999995,0.527633351,2.6548800239999997,0.812319779,1.357742282,1.445411489,0.5444532089999999,0.578758287,0.28177210900000005,1.6444217312,0.7289702490000001,0.842890283,0.479415675,0.42924024699999996,2.6312277,1.18883902,0.8234117190000001,0.488117252,0.9600491520000001,0.502517522,0.0587472778,0.614099885,0.22790544,0.516579671,0.548093581,0.0075965063999999995,1.211464975,0.428889271,0.1908013377,0.35295339670000003,0.880486942
2020-01-20 00:00:00,0.380177691,0.5181910510000001,2.615699024,0.802137579,1.333737382,1.4206072889999999,0.535989409,0.569856487,0.281011309,1.6335403055,0.734426249,0.8365256329999999,0.477855275,0.427865547,2.5991567,1.18210902,0.8168427389999999,0.488986952,0.969174152,0.500695422,0.0592589778,0.616290185,0.22901633999999998,0.512423417,0.545913775,0.0081555084,1.191874575,0.42313307099999997,0.18787553769999998,0.3469123967,0.8656477419999999
2020-01-21 00:00:00,0.359123891,0.48852995099999996,2.4697300240000004,0.757762279,1.258079582,1.339725789,0.505578509,0.537464787,0.266342009,1.5464834872000002,0.698069249,0.791704793,0.452830975,0.405458447,2.4554057,1.11895802,0.772977579,0.464027952,0.921696152,0.47440872200000006,0.0563432778,0.585151085,0.21752993999999998,0.48491375800000003,0.51721317,0.0078849984,1.1246222750000001,0.399572971,0.1773307377,0.32730389670000004,0.816728642
2020-01-22 00:00:00,0.346967091,0.469535251,2.346074024,0.720933579,1.199088382,1.284798489,0.486678509,0.518681787,0.250413409,1.4565863628,0.653237249,0.746325783,0.425846675,0.381281447,2.3387027,1.06044202,0.728708589,0.43534695199999995,0.861690152,0.446195122,0.0526937778,0.5485632850000001,0.20381104,0.45704603599999993,0.48656326899999996,0.0071981114,1.073417075,0.381046671,0.1690019377,0.3116285967,0.778432442
2020-01-23 00:00:00,0.333595791,0.454285251,2.244198024,0.688563379,1.153505582,1.240231789,0.470079109,0.501726287,0.234526409,1.372134372,0.6025252489999999,0.7042418029999999,0.399147575,0.35734304699999997,2.2344657,1.00210902,0.687981009,0.404974552,0.7923731519999999,0.418432122,0.0485124378,0.508962685,0.18873334,0.43147748799999996,0.456554151,0.0060356713999999995,1.031767475,0.36488537099999996,0.1621249777,0.2993765967,0.748119642
2020-01-24 00:00:00,0.331593691,0.448043751,2.136713524,0.6573024789999999,1.111451582,1.215200689,0.464768509,0.499376887,0.21417100899999997,1.2645814355,0.536789849,0.651314803,0.364965675,0.326691547,2.1393876,0.94035202,0.6366339089999999,0.365833552,0.702363052,0.382907122,0.0430864278,0.457829485,0.16923854,0.399029358,0.418198635,0.0045281844,0.9969562750000001,0.350930271,0.1558831777,0.2874718067,0.7203591420000001
2020-01-25 00:00:00,0.335685491,0.450438061,2.117025524,0.652672779,1.105835082,1.218520689,0.468222409,0.5045913870000001,0.209222409,1.2385115983,0.520722149,0.638674963,0.356659375,0.31924364699999996,2.1275603,0.92924362,0.624324559,0.356293252,0.680344352,0.374277322,0.041759407799999995,0.445353785,0.16447914000000002,0.391183324,0.408890977,0.0041674474000000005,0.993852875,0.349515271,0.1551051277,0.2856402067,0.716756742
2020-01-26 00:00:00,0.338600591,0.450433541,2.0884274240000003,0.645628179,1.094642882,1.2156341890000002,0.46941990899999997,0.507355387,0.204162109,1.2103281433,0.506047649,0.624755433,0.348102175,0.31157564699999996,2.1079563,0.91648602,0.6106910489999999,0.347054152,0.660598052,0.365341922,0.040560957800000005,0.43350718499999996,0.16002034,0.382504719,0.399205519,0.0039337884,0.986062775,0.346698941,0.1536353777,0.2824161567,0.709688342
2020-01-27 00:00:00,0.342077991,0.451355351,2.0910785240000003,0.648008379,1.094363182,1.218102489,0.471485909,0.5099887869999999,0.206071009,1.217754239,0.515277849,0.628200833,0.351197575,0.314361247,2.1170695,0.92451612,0.613828029,0.351627852,0.673879252,0.368480422,0.0413467278,0.439889785,0.16256134,0.38441555400000005,0.40252058700000004,0.0043264254,0.987526275,0.347945171,0.1539045277,0.2823886667,0.710012242
2020-01-28 00:00:00,0.337010091,0.44038375100000005,2.022144324,0.628579879,1.059668882,1.186747889,0.461338309,0.500111887,0.198811409,1.1738105929,0.498276449,0.605694713,0.338777075,0.303242747,2.0563507999999997,0.8976298199999999,0.591690149,0.339567552,0.651946852,0.355409022,0.0399932778,0.424994085,0.15710684,0.37044401,0.388233423,0.0042856644,0.958530475,0.338077071,0.14925376769999998,0.27325932669999997,0.687893042
2020-01-29 00:00:00,0.336555591,0.441590551,2.030772524,0.6304717790000001,1.064547482,1.190252889,0.462052009,0.500600087,0.199181209,1.1774153144000001,0.497566649,0.607659963,0.33946747499999996,0.303855447,2.0617066,0.89867842,0.593706729,0.339718752,0.6505760519999999,0.356174122,0.0399197878,0.424935885,0.15701814,0.371739124,0.389107279,0.0041612754,0.962043875,0.339026071,0.14980608769999998,0.2745277167,0.690837442
2020-01-30 00:00:00,0.337027691,0.440225351,2.0166608239999997,0.6269870790000001,1.057676982,1.185823689,0.461234409,0.500201887,0.197660909,1.1678258525,0.49445284899999997,0.6027666030000001,0.336849675,0.301513147,2.0515649,0.89426892,0.588854439,0.337324452,0.646688952,0.353408722,0.0396767678,0.422048685,0.15598004000000001,0.36865036900000003,0.386075142,0.0041923044,0.956905675,0.33739497100000004,0.1489505077,0.27268053670000003,0.686567042
2020-01-31 00:00:00,0.319657291,0.423788841,1.969276524,0.609380579,1.030509082,1.144250389,0.442070409,0.477751987,0.193915609,1.1469176397,0.48364764899999996,0.591672903,0.330515375,0.295836247,1.9897228999999998,0.86823442,0.578211029,0.330502552,0.632162352,0.346792422,0.0387948978,0.413308185,0.15269274,0.362165925,0.378869909,0.0039698144000000005,0.928861275,0.32703127099999996,0.1447959377,0.2659600267,0.668373942
2020-02-01 00:00:00,0.353022733,0.49110874530000004,2.318123001,0.8312155960000001,1.4760205438,1.312336814,0.5115035872,0.5549087716000001,0.252068194,1.4833573430000002,0.6043824820000001,0.8132646750000001,0.403347872,0.37636422,2.521135692,1.1226881023000002,0.6984637625000001,0.4159173428,0.7898595049999999,0.4275725598,0.05598208348,0.44386539,0.18961961,0.448201462,0.384213274,0.0045303736,1.1927633668000002,0.4366527951,0.1917557996,0.38988250469999997,0.956594604
2020-02-02 00:00:00,0.361506133,0.4971767053,2.3246415010000003,0.835094196,1.4801421438000002,1.3266956140000001,0.5193958872,0.5647381716,0.252042094,1.4820761643,0.605744382,0.8126339149999999,0.403351372,0.37631792,2.537796992,1.1294038023,0.6980323225,0.4163181428,0.792004505,0.4275288598,0.05607775348,0.44484109,0.18994231,0.447757052,0.384443348,0.0046606376,1.1997066668,0.4394426951,0.1926587596,0.3907026147,0.9597262040000001
2020-02-03 00:00:00,0.369353533,0.5022262053,2.329464201,0.838356096,1.4823522438,1.338652514,0.5262644872,0.5733526716,0.252355494,1.4819678113,0.608954382,0.812414895,0.403930172,0.37676962,2.552481792,1.1363927023,0.6980840625,0.4176003428,0.796826905,0.42805875979999997,0.056322383479999995,0.44715608999999995,0.19076841,0.44760972099999996,0.38537364999999996,0.0048718076,1.2050967668,0.44179419509999995,0.19334950960000002,0.3910626047,0.961673904
2020-02-04 00:00:00,0.368968633,0.5021894053,2.323880501,0.836311696,1.4804862438,1.3379795140000001,0.5260863872,0.5733224716,0.250723394,1.4740579965,0.602896282,0.8085436349999999,0.401249772,0.37434452,2.546275192,1.1313409022999998,0.6944924825000001,0.4142375428,0.788360905,0.4252885598,0.055807083480000005,0.44274528999999996,0.18902601,0.445336354,0.382503453,0.0046864946000000005,1.2034551668,0.4409210951,0.1930184096,0.3904856147,0.960326604
2020-02-05 00:00:00,0.37945543299999995,0.5086519053,2.340993901,0.844403596,1.4871995438,1.354419114,0.5350502872,0.5841784716,0.254208994,1.4890524711,0.6182139819999999,0.815712245,0.407049372,0.37950562,2.5767340919999997,1.1496569023,0.7014362725000001,0.4221596428,0.810163105,0.4312021598,0.057077303479999994,0.45387389000000006,0.19331901,0.44951297700000004,0.38907594500000003,0.0052884856,1.2135668668,0.4455888951,0.1945513096,0.39214205469999996,0.965572504
2020-02-06 00:00:00,0.383794033,0.5117093052999999,2.347339001,0.847436996,1.4904366437999998,1.361965514,0.5390524872,0.5890525716,0.255022294,1.4925102369,0.6218427820000001,0.8174271049999999,0.408403872,0.38071002,2.588275092,1.1555230022999998,0.7030865825,0.4240249428,0.815335105,0.4325831598,0.05737749348,0.45650949,0.19433381,0.450475669,0.39062221,0.0054381826,1.2179769668,0.44744889509999997,0.1951897596,0.3929087847,0.967955904
